session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
185,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25
1031,2,8,0.2,0.125,0.2,0.125,0.2,0.125,0.0,0.0
1020,2,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.0,0.0,0.0,0.0
1085,2,5,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
773,2,8,0.2,0.125,0.4,0.25,0.0,0.0,0.0,0.0
330,2,3,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0
36,2,6,0.2,0.16666666666666666,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666
430,2,3,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0
510,2,5,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
197,2,7,0.2,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
340,2,4,0.2,0.25,0.0,0.0,0.2,0.25,0.2,0.25
1012,2,7,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.2,0.14285714285714285
86,2,4,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0
698,2,9,0.2,0.1111111111111111,0.2,0.1111111111111111,0.0,0.0,0.0,0.0
608,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
95,2,3,0.2,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
629,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
610,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25
1019,2,5,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
158,2,7,0.2,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
686,2,6,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0
676,2,15,0.4,0.13333333333333333,0.2,0.06666666666666667,0.4,0.13333333333333333,0.4,0.13333333333333333
1139,2,16,0.2,0.0625,0.8,0.25,0.0,0.0,0.0,0.0
731,2,10,0.4,0.2,0.4,0.2,0.0,0.0,0.4,0.2
669,2,3,0.0,0.0,0.2,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0
353,2,15,0.2,0.06666666666666667,0.4,0.13333333333333333,0.2,0.06666666666666667,0.2,0.06666666666666667
